Test Name, September17, October17, November17, December17, Janurary18, Feburary18, Average%, Average Symbols
RSI45/MOM0/MACD0/ADX35/,0.8889,0.125,1,0.3333,0.6364,0,0.4973,3.17
RSI45/MOM0/MACD0/ADX40/,0.9,0.125,1,0.3333,0.6667,0,0.5042,3.5
RSI45/MOM0/MACD0/ADX45/,0.9,0.125,1,0.3333,0.6667,0,0.5042,3.67
RSI45/MOM0/MACD0/ADX50/,0.9,0.125,1,0.3333,0.6667,0,0.5042,3.67
MOM0/MACD0/ADX35/,0.9118,0.3333,1,0.5,0.48,0.375,0.6,13.33
MOM0/MACD0/ADX40/,0.8974,0.375,1,0.5217,0.4909,0.375,0.61,15.33
MOM0/MACD0/ADX45/,0.9,0.4286,1,0.5217,0.4828,0.3636,0.6161,16.5
MOM0/MACD0/ADX50/,0.9024,0.4595,1,0.5217,0.4915,0.3636,0.6231,17.17
RSI45/MACD0/ADX35/,0.8235,0.2,1,0.3636,0.6316,0,0.5031,5.5
RSI45/MACD0/ADX40/,0.8421,0.1818,1,0.3333,0.6957,0,0.5088,6.5
RSI45/MACD0/ADX45/,0.8421,0.1818,1,0.3333,0.6957,0,0.5088,6.67
RSI45/MACD0/ADX50/,0.8,0.1818,1,0.3333,0.6957,0,0.5018,6.67
MACD0/ADX35/,0.8814,0.3415,1,0.4103,0.5696,0.3333,0.5893,22.17
MACD0/ADX40/,0.8806,0.3636,1,0.4255,0.5934,0.3333,0.5994,25.83
MACD0/ADX45/,0.8824,0.4043,1,0.4167,0.5789,0.3333,0.6026,27
MACD0/ADX50/,0.8732,0.4286,1,0.4167,0.5876,0.3333,0.6066,28
RSI45/MOM0/ADX35/,0.8889,0.125,1,0.3333,0.6364,0,0.4973,3.17
RSI45/MOM0/ADX40/,0.9,0.125,1,0.3333,0.6667,0,0.5042,3.5
RSI45/MOM0/ADX45/,0.9,0.125,1,0.3333,0.6667,0,0.5042,3.67
RSI45/MOM0/ADX50/,0.9,0.125,1,0.3333,0.6667,0,0.5042,3.67
MOM0/ADX35/,0.8333,0.3902,1,0.5714,0.4576,0.3333,0.5976,16.67
MOM0/ADX40/,0.8298,0.46,0.8,0.5897,0.4627,0.2727,0.5692,20.5
MOM0/ADX45/,0.8333,0.5172,0.8333,0.619,0.4658,0.2667,0.5892,23.17
MOM0/ADX50/,0.82,0.5238,0.8333,0.6304,0.4737,0.2667,0.5913,24.67
RSI45/ADX35/,0.8636,0.2667,1,0.2857,0.6061,0.25,0.5454,8.33
RSI45/ADX40/,0.88,0.25,1,0.3529,0.6579,0.25,0.5651,10
RSI45/ADX45/,0.88,0.25,1,0.3529,0.641,0.2,0.554,10.17
RSI45/ADX50/,0.8462,0.25,1,0.3529,0.641,0.2,0.5484,10.17
RSI45/MOM0/MACD0/BOP0.05/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
MOM0/MACD0/BOP0.05/,0.8409,0.4545,1,0.5217,0.5082,0.2727,0.5997,17
RSI45/MACD0/BOP0.05/,0.7895,0.1,1,0.1111,0.6667,0,0.4446,5.5
MACD0/BOP0.05/,0.8571,0.4186,1,0.3659,0.5833,0.25,0.5791,26
RSI45/MOM0/BOP0.05/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
MOM0/BOP0.05/,0.7692,0.5102,1,0.6098,0.5,0.2857,0.6125,22.83
RSI45/BOP0.05/,0.7895,0.1,1,0.1111,0.6818,0,0.4471,5.67
BOP0.05/,0.7981,0.4857,0.875,0.4588,0.5685,0.25,0.5727,41.67
RSI45/MOM0/MACD0/,0.9,0.125,1,0.3333,0.6667,0,0.5042,3.67
MOM0/MACD0/,0.8444,0.4474,1,0.52,0.4921,0.3333,0.6062,17.83
RSI45/MACD0/,0.8,0.1818,1,0.3333,0.6957,0,0.5018,6.67
