TestName, AverageSymbols, AverageGain, December17, Feburary18, Janurary18, March18, November17, October17, September17, SuccessPercent
RSI45/MACD3/BOP-0.05/, 7.43, 1.0133, 0.5, 0.3333, 0.7727, 0.6154, 1, 0.2222, 0.9474, 0.627285714285714
RSI45/MACD3/BOP-0.07/, 7.29, 1.0077, 0.5, 0, 0.8095, 0.6154, 1, 0.2222, 0.9474, 0.584928571428571
RSI45/MACD2/, 8.57, 1.014, 0.5833, 0.3333, 0.76, 0.5625, 1, 0.25, 0.95, 0.634157142857143
RSI45/MACD1/, 8.57, 1.014, 0.5833, 0.3333, 0.76, 0.5625, 1, 0.25, 0.95, 0.634157142857143
RSI45/MACD0/, 8.29, 1.0101, 0.5833, 0, 0.7826, 0.6429, 1, 0.2727, 0.95, 0.6045
RSI45/MACD-1/, 1.14, 0.5935, 0.6667,, 1, 0.6667,,, 1, 0.4762
MACD3/BOP0.05/ADX35/, 21.86, 1.012, 0.52, 0.5556, 0.7288, 0.7073, 1, 0.44, 0.9412, 0.698985714285714
MACD3/BOP0.05/ADX40/, 25.14, 1.0161, 0.6061, 0.5556, 0.7206, 0.7021, 1, 0.4615, 0.9464, 0.713185714285714
MACD3/BOP0.05/ADX45/, 27, 1.0238, 0.6286, 0.4615, 0.6757, 0.6731, 1, 0.5484, 0.9474, 0.704957142857143
MACD3/BOP0.05/ADX50/, 28.57, 1.0252, 0.6053, 0.4615, 0.6883, 0.6786, 1, 0.5429, 0.9492, 0.703685714285714
MACD3/BOP0.03/, 52.57, 1.023, 0.679, 0.5, 0.6993, 0.7561, 1, 0.6515, 0.92, 0.7437
MACD3/BOP0.01/, 51.43, 1.0224, 0.6753, 0.5, 0.705, 0.7531, 1, 0.6462, 0.9192, 0.742685714285714
MACD3/BOP-0.01/, 50.71, 1.0225, 0.6667, 0.5, 0.7029, 0.7531, 1, 0.6462, 0.9175, 0.740914285714286
MACD3/BOP-0.03/, 49.71, 1.0235, 0.6667, 0.5333, 0.7132, 0.7595, 1, 0.6721, 0.9167, 0.751642857142857
MACD3/BOP-0.05/, 48.14, 1.023, 0.6615, 0.5, 0.7111, 0.7532, 1, 0.6667, 0.9239, 0.7452
MACD3/BOP-0.07/, 47.71, 1.0233, 0.6615, 0.5, 0.7252, 0.7532, 1, 0.661, 0.9239, 0.7464
MACD0/, 37.86, 1.029, 0.7255, 0.5385, 0.7476, 0.7636, 1, 0.5192, 0.9342, 0.746942857142857
MACD-1/, 4.29, 0.8844, 0.75, 0.5, 0.75, 0.75,, 0.625, 0.8571, 0.604585714285714
RSI45/MOM0/BOP0.05/ADX35/, 2.14, 0.9925, 0.25, 0.5, 0.8333, 0.3333, 1, 0.2, 1, 0.588085714285714
RSI45/MOM0/BOP0.05/ADX40/, 2.29, 0.991, 0.25, 0.5, 0.8571, 0.3333, 1, 0.2, 1, 0.591485714285714
RSI45/MOM0/BOP0.05/ADX45/, 2.43, 1.0065, 0.25, 0.3333, 0.8571, 0.3333, 1, 0.2, 1, 0.567671428571429
RSI45/MOM0/BOP0.05/ADX50/, 2.57, 1.0075, 0.25, 0.3333, 0.8571, 0.4286, 1, 0.2, 1, 0.581285714285714
RSI45/MOM0/BOP0.03/, 4.71, 1.01, 0.4, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.630942857142857
RSI45/MOM0/BOP0.01/, 4.57, 1.0093, 0.4, 0.3333, 0.8333, 0.5556, 1, 0.25, 1, 0.6246
RSI45/MOM0/BOP-0.01/, 4.57, 1.0093, 0.4, 0.3333, 0.8333, 0.5556, 1, 0.25, 1, 0.6246
RSI45/MOM0/BOP-0.03/, 4.57, 1.0093, 0.4, 0.3333, 0.8333, 0.625, 1, 0.25, 1, 0.634514285714286
RSI45/MOM0/BOP-0.05/, 4.57, 1.0093, 0.4, 0.3333, 0.8333, 0.625, 1, 0.25, 1, 0.634514285714286
RSI45/MOM0/BOP-0.07/, 4.43, 1.0029, 0.4, 0, 0.8333, 0.625, 1, 0.25, 1, 0.5869
MOM0/BOP0.05/ADX35/, 11.43, 1.0094, 0.5833, 0.625, 0.6364, 0.6842, 1, 0.4444, 0.9583, 0.704514285714286
MOM0/BOP0.05/ADX40/, 13.29, 1.0179, 0.7222, 0.625, 0.6667, 0.7, 1, 0.4737, 0.9615, 0.735585714285714
MOM0/BOP0.05/ADX45/, 14.71, 1.0271, 0.75, 0.5, 0.625, 0.6522, 1, 0.5455, 0.963, 0.719385714285714
MOM0/BOP0.05/ADX50/, 15.43, 1.0298, 0.7619, 0.5, 0.6341, 0.68, 1, 0.52, 0.963, 0.722714285714286
MOM0/BOP0.03/, 29.14, 1.0281, 0.775, 0.5, 0.6892, 0.775, 1, 0.6667, 0.9038, 0.758528571428571
MOM0/BOP0.01/, 28.86, 1.028, 0.775, 0.5, 0.6849, 0.7692, 1, 0.6667, 0.9038, 0.757085714285714
MOM0/BOP-0.01/, 28.43, 1.0275, 0.7632, 0.5, 0.6849, 0.7692, 1, 0.6596, 0.9038, 0.754385714285714
MOM0/BOP-0.03/, 28.29, 1.0275, 0.7568, 0.5, 0.6849, 0.7895, 1, 0.6739, 0.9038, 0.758414285714286
MOM0/BOP-0.05/, 27.86, 1.0267, 0.7429, 0.4615, 0.6849, 0.7895, 1, 0.6739, 0.9038, 0.750928571428571
MOM0/BOP-0.07/, 27.57, 1.0268, 0.7429, 0.4545, 0.6944, 0.7895, 1, 0.6667, 0.9038, 0.750257142857143
RSI45/BOP0.05/ADX35/, 4.14, 0.9993, 0.3333, 0.5, 0.9, 0.4545, 1, 0.1667, 0.9091, 0.609085714285714
RSI45/BOP0.05/ADX40/, 4.71, 1.001, 0.4286, 0.5, 0.9231, 0.4545, 1, 0.1667, 0.9091, 0.626
RSI45/BOP0.05/ADX45/, 4.86, 1.0165, 0.4286, 0.3333, 0.9231, 0.4545, 1, 0.1667, 0.9091, 0.602185714285714
RSI45/BOP0.05/ADX50/, 5.14, 1.0158, 0.4286, 0.3333, 0.9231, 0.5, 1, 0.1667, 0.9167, 0.609771428571429
RSI45/BOP0.03/, 7.57, 1.0108, 0.4444, 0.3333, 0.7727, 0.6, 1, 0.2, 0.9474, 0.613971428571429
RSI45/BOP0.01/, 7.43, 1.0104, 0.4444, 0.3333, 0.7727, 0.5714, 1, 0.2, 0.9474, 0.609885714285714
RSI45/BOP-0.01/, 7.43, 1.0104, 0.4444, 0.3333, 0.7727, 0.5714, 1, 0.2, 0.9474, 0.609885714285714
RSI45/BOP-0.03/, 7.43, 1.0133, 0.5, 0.3333, 0.7727, 0.6154, 1, 0.2222, 0.9474, 0.627285714285714
RSI45/BOP-0.05/, 7.43, 1.0133, 0.5, 0.3333, 0.7727, 0.6154, 1, 0.2222, 0.9474, 0.627285714285714
RSI45/BOP-0.07/, 7.29, 1.0077, 0.5, 0, 0.8095, 0.6154, 1, 0.2222, 0.9474, 0.584928571428571
BOP0.05/ADX35/, 22, 1.0132, 0.52, 0.5556, 0.7288, 0.7073, 1, 0.4615, 0.9412, 0.702057142857143
BOP0.05/ADX40/, 25.43, 1.0171, 0.6061, 0.5556, 0.7206, 0.7083, 1, 0.4815, 0.9464, 0.716928571428571
BOP0.05/ADX45/, 27.29, 1.0246, 0.6286, 0.4615, 0.6757, 0.6792, 1, 0.5625, 0.9474, 0.707842857142857
BOP0.05/ADX50/, 28.86, 1.0258, 0.6053, 0.4615, 0.6883, 0.6842, 1, 0.5556, 0.9492, 0.7063
BOP0.03/, 53, 1.0232, 0.679, 0.5, 0.6993, 0.759, 1, 0.6567, 0.9208, 0.744971428571429
BOP0.01/, 51.71, 1.0227, 0.6753, 0.5, 0.705, 0.7531, 1, 0.6515, 0.92, 0.743557142857143
BOP-0.01/, 50.86, 1.0224, 0.6667, 0.5, 0.7029, 0.7531, 1, 0.6462, 0.9184, 0.741042857142857
BOP-0.03/, 49.86, 1.0234, 0.6667, 0.5333, 0.7132, 0.7595, 1, 0.6721, 0.9175, 0.751757142857143
BOP-0.05/, 48.29, 1.0229, 0.6615, 0.5, 0.7111, 0.7532, 1, 0.6667, 0.9247, 0.745314285714286
BOP-0.07/, 47.86, 1.0233, 0.6615, 0.5, 0.7252, 0.7532, 1, 0.661, 0.9247, 0.746514285714286
RSI45/MOM0/MACD2/ADX35/, 2.29, 0.9959, 0.4, 0.5, 0.8333, 0.3333, 1, 0.2, 1, 0.609514285714286
RSI45/MOM0/MACD2/ADX40/, 2.43, 0.9943, 0.4, 0.5, 0.8571, 0.3333, 1, 0.2, 1, 0.612914285714286
