Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
HSC,39.8732,0.271110048,0.8295,1.0078,0.125358852,77.5328,0.990675991
HIIQ,46.7713,1.661351724,-0.8998,-3.3166,-0.28137931,28.2036,1.398713826
HCLP,41.7844,0.338252632,0.5085,0.4213,0.117894737,45.6022,1.075376884
HMTA,57.1944,0.008940092,0.2174,0.0186,-0.000127189,61.7374,1.004608295
HUBS,30.7155,0.21266865,0.7947,2.0164,0.066864961,74.8099,1.004027618
HPP,25.9744,0.059009842,0.2506,0.096,0.026424098,54.8058,1.004822076
IAC,62.3241,0.071731587,0.5397,2.2441,0.004932812,76.2936,1.070730495
IIN,29.4639,0.564363636,0.7449,0.8992,0.081818182,75.6243,0.8984375
STAR,28.5755,0.075508475,0.186,0.0175,0.042372881,50.168,0.968646865
IXYS,47.8192,0.048447257,0.6522,1.1117,0.021940928,84.3015,1.048739496
KE,28.9278,0.183233256,0.8033,0.6652,0.060046189,74.4664,1.001122334
KBAL,19.1389,0.200495701,0.7535,0.6462,0.098229641,76.0279,0.936324168
LADR,23.0494,0.080478955,0.0562,0.0378,0.013497823,52.8296,0.972282217
LMRK,37.5523,0.032873156,0.5,0.046,0.015221239,59.0403,1.030654971
LDOS,35.1854,0.074353259,0.1697,0.7032,0.033468423,66.2677,1.036696443
LIND,20.9587,0.059009346,-0.8596,0.0639,-0.009345794,59.1147,1.00744879
TUSK,16.8011,0.300604982,0.7361,0.8277,0.12514828,58.1379,1.208959623
VAC,53.3616,0.144524211,0.4544,2.4764,0.07344415,67.5104,1.054458788
MTZ,28.1193,0.203293103,0.6545,1.3276,0.074784483,62.2184,0.952890792
MCHP,47.4864,0.057237692,0.4129,1.2491,-0.00080196,73.4099,1.048887427
MTGE,36.9095,0.064216495,0.1667,0.153,0.032474227,59.2168,0.961538462
NRG,38.5907,0.140781555,0.242,0.0279,0.043220008,68.2939,0.979361371
NAVG,28.3763,0.057175664,0.4771,0.5423,0.023136247,59.3601,0.973355537
SNR,23.8977,0.026754098,-0.1364,-0.0825,-0.004590164,39.4545,0.96763754
NBL,38.7012,0.215486601,0.9124,0.7864,0.08787024,54.6599,0.994020401
NBLX,29.1825,0.110314247,0.3444,2.0969,0.104222094,69.6805,0.991647684
NWPX,22.5194,0.112471083,0.2746,0.5308,0.041535226,69.2159,0.940578974
OGE,37.3459,0.022264779,0.1422,0.0519,-0.003330558,55.8296,1.020971302
OAS,39.772,0.331885965,0.7531,0.4311,0.139692982,54.8297,1.036026201
OMF,34.9248,0.092337708,0.2475,0.4843,0.040439872,65.654,1.120490368
PGRE,10.6337,0.027775,0.2817,0.0333,0.001875,50.3731,0.996580665
PK,19.8614,0.056342525,0.4236,0.2528,0.009796807,58.7979,1.040779502
PPC,36.9577,0.064280183,-0.4104,0.3229,-0.008870116,65.8778,1.077156334
PNW,29.6928,0.10442053,-0.8006,-0.9522,-0.038032167,38.4183,1.029583723
PWR,26.8342,0.058817233,0.5311,0.6386,0.029810008,65.5347,1.01569984
REGN,27.1056,0.241970836,-0.6469,-11.7439,-0.005036679,45.7681,0.881612903
RSO,33.8271,0.089591837,0.6225,0.0292,0.030426716,62.6758,0.949448529
RICE,37.4268,0.11568763,0.5795,0.4864,0.029993089,65.7241,0.983815427
SRCI,26.1833,0.306163392,0.7817,0.3724,0.141468459,72.5883,0.970588235
SD,18.1202,0.188720757,0.8511,0.509,0.057441513,62.3769,0.923716381
SEM,40.7661,0.087802083,0.3095,0.3634,0.0390625,77.0724,1.007712082
SHAK,19.5907,0.125206139,0.5747,0.2368,0.044056575,49.2215,1.14238806
SWIR,30.4446,0.048297674,-0.4054,-0.5009,-0.030232558,32.5729,0.982532751
SWN,26.8969,0.213878887,0.5,0.1854,0.071358429,50.6903,0.88676236
SQ,67.1783,0.169774384,0.7207,0.7161,0.006664353,81.3479,1.267005076
STAA,24.5987,0.180722892,0.2381,0.1895,0.060240964,66.821,1.016504126
STMP,44.9827,0.13378041,0.4246,3.4789,0.022748581,68.1676,1.063327032
STOR,26.5638,0.060418175,-0.3946,0.1239,-0.028065943,57.4374,0.982518872
SMCI,32.7438,0.351502262,-0.7143,-1.2984,-0.150226244,29.2701,0.86695279
SLD,31.3364,0.042636943,0.5556,0.1561,0.000636943,67.1191,0.996845426
SYNA,28.0342,0.135783563,-0.4748,-1.191,-0.050178663,36.0209,0.944303154
DATA,53.8193,0.06430231,0.428,1.1829,-0.008706102,73.1847,1.076841688
TEGP,22.3158,0.130350442,0.5537,0.5806,0.022725664,62.4178,0.890186759
TRGP,29.3512,0.093065539,0.5699,0.8149,0.023044397,52.7029,0.884697357
TRNO,57.1728,0.016799337,-0.0769,0.1801,-0.019789939,73.5434,0.999456374
TIVO,12.9065,0.121410579,0.5918,0.2345,0.029722922,62.6775,0.912019827
