Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
CVX,22.3756,0.057923186,0.5124,0.2031,0.008986696,64.2493,1.04582434
CXP,21.7033,0.042758621,0.5635,0.2926,0.01821397,61.3928,1.00832968
COWN,28.7036,0.042372414,-0.1714,-0.2149,0.035862069,38.8534,0.928
CUBE,22.0002,0.051322715,0.5308,0.4356,-0.015373961,73.1749,1.004845967
BOOM,51.29,0.079971292,-0.4552,0.412,-0.019617225,71.5997,1.216666667
DAIO,51.384,0.402009724,0.0375,0.8354,0.110210697,58.406,0.969264368
XOM,22.2699,0.058830578,-0.0242,-0.0765,0.004696861,59.6039,1.000832046
FNWB,16.0888,0.061075388,0.5202,0.2252,0.020066519,74.5291,0.901639344
GCAP,30.1479,0.270631313,0.0421,0.3015,0.063636364,64.8222,1.591855845
HUN,50.0367,0.059066835,-0.0852,0.5264,0.044388398,72.9136,1.053091818
IMO,16.6092,0.042590574,-0.6244,-0.1012,-0.017120872,53.5709,0.983364721
LRN,28.8755,0.070631068,0.0486,-0.1201,0.063106796,42.0358,0.976534296
LPLA,32.497,0.09775595,0.4421,0.1359,0.037854175,67.5987,1.084732968
MERC,39.2978,0.063768116,-0.4074,0.1335,-0.008695652,62.8704,1.021276596
MB,44.6745,0.135961905,0.0085,1.0386,0.018095238,59.1084,0.93768997
NOV,16.6267,0.103836902,-0.2156,-0.3744,0.010032268,54.1835,1.053813621
OSB,36.2338,0.049907781,-0.52,-0.6077,-0.020115274,46.6565,0.966429587
OSIS,26.376,0.104764497,-0.4436,-0.8036,-0.037443787,43.452,0.749250807
OPY,52.0042,0.242110294,0.8211,1.8599,0.095955882,91.5951,1.001828154
PSX,35.0933,0.070406887,0.9638,0.9133,0.024720713,75.1532,1.042074165
RVSB,34.6919,0.108222698,0.1866,0.1306,0.060385439,78.2716,0.948881789
SGEN,18.117,0.075562658,-0.0998,-0.0098,0.025803196,54.2824,0.905228758
STRT,45.2959,0.101283276,-0.5789,0.5479,0.009556314,56.7245,0.944805195
TMST,17.7421,0.1174,0.1951,-0.1888,0.070933333,47.748,0.993540052
TWIN,49.3839,0.273386861,0.809,1.6221,0.111167883,84.0594,0.978905971
VRTS,21.6419,0.086323333,0.1713,0.6819,0.053666667,59.3556,0.958091286
VCRA,32.6237,0.139715505,0.2,0.0329,0.095163585,52.5001,1.040596095
WEBK,17.1326,0.05353405,0.6091,0.2353,0.030911828,63.6331,1.062611807
WY,33.0746,0.037576271,-0.3246,0.1484,-0.022824859,58.8862,0.998147102
AEIS,30.214,0.247914542,-0.8239,-1.4563,-0.064203997,40.7929,0.924549732
AIN,53.2377,0.140090062,0.549,1.8178,0.081521739,83.4122,0.955051863
ARE,23.5065,0.034523273,0.4718,1.0326,0.0096511,73.4708,1.015731556
ALSN,25.1831,0.197339517,-0.3695,-0.1275,-0.045643154,58.6649,1.063660671
ANCB,42.7058,0.013426134,-0.1778,-0.0082,0.000703637,47.4039,0.996015936
BBGI,18.4909,0.171547511,0.7127,0.1457,0.130316742,54.5545,1.215859031
BWP,58.8893,0.089260073,-0.3807,-0.2623,-0.068571429,27.0883,0.965239663
CGNX,59.7518,0.111725034,0.5809,4.3971,0.018571738,77.554,0.441148649
CMP,16.1602,0.088778019,0.5586,0.6431,0.042516269,58.2822,1.043633763
DO,35.6099,0.122134293,-0.4143,0.0564,-0.020383693,66.8506,1.107651246
EDR,18.5446,0.03613171,0.7102,0.0774,-0.001272828,42.4402,0.960490463
NPO,37.7324,0.071725332,0.2404,1.362,0.047362954,73.3149,1.092995099
KMPR,62.5859,0.091839767,0.4989,2.528,0.038455936,91.7683,1.016582552
NLS,50.1402,0.040434109,0.1481,-0.4849,0.025581395,24.3056,1.045801527
NR,23.5978,0.134368715,0.0741,-0.114,-0.015642458,51.1468,0.942934783
NBL,20.4992,0.148118519,-0.5265,-0.4249,-0.025925926,47.4651,1.072078631
OGS,28.1545,0.049609038,0.522,0.6359,0.017821782,75.8786,0.9296343
QNST,65.9849,0.223758794,0.5333,0.6591,0.146532663,87.6991,0.818529131
SBAC,54.247,0.135231733,0.5546,4.5547,0.027737054,73.8496,0.965424285
STRA,36.4736,0.067020842,0.4167,1.6339,0.03324479,71.4559,0.905630134
TREX,65.0296,0.145750133,0.4683,5.8218,0.084378866,85.0004,0.93359243
AGCO,18.8147,0.107158447,0.2331,0.1947,0.05586407,57.8169,0.988986181
ATNI,39.2433,0.180819617,0.4934,1.3834,0.104400403,58.4406,0.93117207
ACOR,29.3016,0.791548077,-0.4866,-1.5359,-0.157692308,43.218,1.076190476
ADRO,33.5614,0.263036649,0.9299,0.0771,0.07539267,46.7049,0.786458333
ANAT,28.2699,0.067950281,0.284,1.2048,0.040867706,65.6511,1.022868859
APTI,49.549,0.07475089,-0.3286,0.6706,0.015925267,70.7073,1.073406593
ARCH,19.9986,0.098739615,0.7189,1.279,0.023356278,67.9301,1.113374146
BCC,61.3877,0.093485714,0.5556,0.8277,0.064155844,74.6004,1.037323037
BRX,23.8294,0.081895317,0.3243,-0.0246,-0.001873278,43.0486,1.027487631
CHFS,57.3032,2.344205128,-0.129,-0.3225,-1.118461538,50.0685,0.907073171
CG,35.3797,0.159102244,-0.6769,-0.5956,-0.029177057,38.284,1.137376238
CHGG,40.1104,0.115531088,-0.2251,0.0033,0.060880829,60.6257,1.075777202
CIGI,31.9098,0.066371594,0.4865,1.5565,0.028736581,69.2787,0.982954545
CXO,29.8267,0.04664216,0.0017,1.0074,-0.010533013,65.53,1.059063842
DVN,25.6507,0.081343975,0.1592,0.2127,-0.03053553,60.9034,1.052842474
DBD,32.1178,0.075801047,-0.0114,-0.231,0.10104712,37.8856,0.872395833
ELVT,29.2294,0.118162162,-0.3977,0.0088,0.025405405,51.9656,1
WIRE,27.4859,0.064567132,0.1913,0.351,0.034801289,61.0386,1.053304904
ENLC,23.0907,0.102602985,0.3534,-0.039,0.039402985,51.3619,1.047477745
EVBN,26.3881,0.048236111,0.3933,0.1233,0.014583333,58.2897,0.93920746
EVRI,50.7583,0.142710163,-0.1951,0.1156,-0.013550816,53.0405,0.924482339
EXAS,73.1628,0.085342537,0.4502,1.9573,-0.001415013,77.0647,0.919008707
FBSS,40.5864,0.038314286,0.0385,0.1343,-0.00210381,67.9817,1.042857143
FORM,35.8554,0.201576923,-0.0486,-0.174,-0.057435897,46.5238,0.986217458
FET,13.9372,0.158013423,-0.0682,-0.0428,0.036912752,55.1357,1.050167224
GPT,27.7014,0.03125438,-0.8933,-0.3255,-0.012053259,39.4471,0.935866155
HEP,14.7604,0.09338809,-0.264,-0.2699,0.011909651,55.0679,0.962474348
IPGP,83.4778,0.181540178,0.3237,8.0241,0.025387052,71.2522,0.938083048
IVAC,43.1501,0.17927027,-0.8,-0.2617,-0.067567568,31.4011,0.932885906
IOVA,23.7584,0.220159091,0.4828,0.4208,0.126136364,68.9057,0.935141638
KBR,35.8166,0.21922423,-0.2512,-0.0565,-0.008289054,57.0387,1.070482247
KAI,70.7642,0.068965042,-0.7714,0.3917,0.0183161,69.1896,0.98683569
KRNY,17.6131,0.049727891,-0.3077,-0.0357,0.029251701,49.0108,0.993955675
KFRC,37.1631,0.136634921,0.7955,1.1996,0.052380952,78.6125,1.003853565
LXU,15.9699,0.20479558,0.6698,0.3371,0.121767956,63.3721,0.986899563
MDCA,19.832,0.180188841,-0.0418,0.1606,0.115879828,61.1677,0.845493562
MRNS,66.932,0.327207703,0.6237,0.3291,0.033562586,68.7003,1.130322581
MASI,15.6025,0.048386589,-0.0959,0.4474,0.020544554,55.8124,0.963620031
MOD,70.5006,0.078672566,0.3875,0.5497,0.042477876,71.8103,0.918859649
NXRT,31.6803,0.1188227,0.7912,0.9945,0.013958407,72.592,1.003510004
PAYC,26.88,0.113540296,0.263,1.229,0.034372284,59.2158,0.986244674
QLYS,60.8996,0.119128511,0.1694,1.6997,0.027234043,68.9766,1.018518519
RRD,26.2985,0.103121248,-0.0229,-0.0871,0.125570228,32.3247,1.006349206
RPT,17.9314,0.138272287,0.5991,0.3253,0.03317208,64.0629,1.0220234
SHOP,27.3196,0.17824344,0.1849,1.8629,0.070746587,51.3954,0.978810728
STRL,45.1063,0.05597654,-0.4585,0.377,0.021466276,68.8046,0.977625438
SYX,71.1813,0.09342611,0.2299,0.4064,0.060768721,73.8845,1.09863188
TEX,41.7248,0.052853089,0.1198,0.22,0.049683475,68.5465,1.043869035
TPL,49.5863,0.029455075,-0.0404,0.0233,-0.005382583,61.8294,1.096220859
WCG,30.8454,0.089825408,0.7501,5.8211,0.039839129,72.2528,0.955434884
WLH,36.5077,0.120956842,0.4814,1.1154,0.038808966,81.9445,0.974307641
XOXO,32.2406,0.050097888,-0.4971,-0.0283,0.024008243,55.8142,0.97840617
