Symbol,ADX,BBands,BOP,MACD,MOM,RSI,Gain
SD,24.0919,0.207005221,0.5331,0.1665,0.043569056,63.2341,0.858007449
SWM,45.1058,0.084550265,-0.0029,0.5155,0.034126984,65.0842,1.010199653
SGMS,60.8133,0.082062378,-0.2105,0.1872,-0.022417154,68.4151,0.918446602
SHEN,21.2962,0.182798817,-0.7686,-0.8767,-0.038017751,42.7371,1.002936858
SP,30.1932,0.091994609,-0.6462,-0.2061,-0.026954178,47.1053,1.052631579
SFM,31.7189,0.069716632,0.5356,0.7839,0.035564682,66.6175,1.134282277
SGY,31.6277,0.355062189,0.6757,0.7896,0.205970149,61.7814,1.094793861
TDY,58.4465,0.032709909,-0.4995,0.9464,0.00961634,69.4252,1.066735336
TRNO,37.0893,0.12693668,-0.7754,-0.5464,-0.04740445,41.7256,1.013667426
CC,25.7613,0.120910907,-0.1413,-0.3938,0.042309229,50.7731,1.017751594
TACT,40.9131,0.037464151,-0.2,0.0465,-0.022641509,67.9687,1.107526882
TNET,47.3231,0.028818223,-0.1306,0.6334,0.011231394,74.481,0.999550461
UNT,19.5123,0.222181818,0.052,0.3874,0.092727273,57.7906,1.087494476
OLED,45.3013,0.05120417,-0.2369,1.7073,0.019113814,66.1388,0.94638503
WSR,20.4151,0.044802221,-0.292,0.0635,0.003053435,61.021,0.906896552
XPO,52.7505,0.283653237,0.6834,3.8582,0.154864068,89.4252,1.040305245
ZEN,25.283,0.032748227,0.0762,0.0884,-0.003664303,59.5328,1.148668423
AKR,24.4366,0.027404971,-0.4746,-0.2656,0.000146199,40.2647,0.884395132
AAV,43.609,0.30055814,-0.3913,-0.2141,0.046511628,33.6139,0.736263736
AJRD,30.0441,0.078275641,-0.1064,0.2563,0.024807692,55.2012,0.898901413
AMH,25.2209,0.041364469,0.25,0.036,-0.003021978,48.9282,0.951509607
APA,14.8997,0.157678825,-0.0108,0.292,0.068308858,48.2271,1.02294197
PETX,20.9505,0.122661597,-0.5613,-0.2281,-0.057414449,37.1665,0.912
ABUS,29.6234,0.285148515,-0.3793,-0.2369,0.021782178,47.2297,0.949163636
ANET,41.522,0.084786484,0.0889,4.9166,0.060573903,72.6499,1.160788669
AINC,38.5293,0.237729032,0.0118,2.9506,0.078215054,62.297,0.910931174
ASV,58.7885,0.315665025,0.836,0.4364,0.165136946,83.2108,0.8125
ACLS,38.8686,0.106599303,-0.8866,-0.7047,0.011498258,48.8235,0.889816361
BAS,22.3377,0.114929697,0.1714,0.7532,0.039028547,59.3216,0.812145749
BNFT,35.2167,0.017903704,0.0145,0.0241,0.001481481,40.4272,0.930656934
BH,24.4403,0.322462355,0.7649,19.3049,0.076703668,70.1915,1.006830958
BL,28.9222,0.131006098,-0.8961,-0.2674,-0.014939024,42.0813,0.988425104
WIFI,51.0331,0.104675556,-0.7629,-0.0407,0.015555556,53.4378,1.067484663
BOOT,48.3582,0.22127634,0.5363,1.1391,0.117158338,80.4982,1.002280502
CARB,36.2036,0.117904382,0.3694,0.5515,0.070517928,66.9288,0.998039216
CBL,37.681,0.032120141,0.0278,-0.1043,0.041696113,23.2698,0.94295302
COHU,28.6958,0.054505695,-0.2983,-0.3818,0.007015945,47.8253,1.055017606
CLCT,32.7696,0.090132682,-0.0906,0.6604,0.013547486,61.5797,0.973267495
CORT,26.7319,0.1486268,0.0208,0.0447,0.055260244,57.41,1.316531165
CYRX,28.962,0.301909197,0.583,0.3813,0.02677532,61.971,1.039325843
DXPE,16.5526,0.121487995,0.4514,0.4992,0.066012851,51.8991,1.126453488
DGICB,20.8106,0.201786887,0.7036,-0.26,-0.055485482,53.4084,0.99392247
DVAX,37.0148,0.07171123,-0.3651,-0.0728,0.032620321,53.3665,0.874673629
ESTE,20.1954,0.215954845,0.6022,0.3656,0.089369708,58.9163,0.895246479
ERI,61.0196,0.115571644,0.6741,1.0662,0.004826546,83.4367,1.051051051
EVC,37.274,0.108195804,0.0588,0.2432,-0.036363636,63.6056,1.003472222
EVH,39.0396,0.135268293,-0.2797,0.0344,0.008130081,32.3814,1.1
FTAI,38.3059,0.175373808,0.7763,0.4819,0.079578525,79.0448,0.901394422
HDP,47.6414,0.094818498,0.3858,0.4773,0.027747389,70.8457,0.970226843
HY,56.514,0.04684124,0.0515,0.8674,0.029168624,61.2262,1.003977704
IEP,18.6499,0.034237736,-0.0068,-0.3637,0.00909434,47.3121,1.079633028
INTT,24.3492,0.059583815,-0.1031,-0.0559,0.007514451,52.6302,1.017045455
LNTH,31.2412,0.136303178,-0.6721,-0.0128,0.030317848,55.5455,1.122065728
MRC,19.8944,0.097316785,0.7285,0.2414,0.053782506,54.628,1.066666667
MSG,15.8799,0.048342424,-0.5992,-1.337,-0.000493242,44.741,1.023167114
PK,33.4662,0.046107826,-0.3041,0.0962,0.023652174,56.9671,1.007243877
PCTY,15.9306,0.0806743,0.2656,-0.1255,0.010135708,48.7336,1.100626305
RMP,21.6902,0.082934327,0.2487,-0.0282,-0.021145785,54.0459,0.940258582
ROG,69.5877,0.059467638,0.0715,1.4401,0.015167984,74.8346,0.974212034
RST,39.2449,0.097193264,0.1472,0.2905,-0.025020048,67.2985,1.020684169
SPXC,41.3038,0.045262823,-0.25,0.2457,0.028352979,64.4559,0.990378647
SEM,22.7383,0.088532578,-0.0541,-0.1084,0.011331445,53.2746,1
SRG,28.5651,0.027656945,-0.1598,-0.2091,-0.002372714,35.7833,1.023175542
SWIR,14.7236,0.11791687,-0.86,-0.1801,-0.025427873,39.8246,0.928398577
SOI,37.2896,0.373638487,0.8264,1.2844,0.149462868,77.9705,0.877505568
SPKE,40.9452,0.281483871,-0.0308,-0.418,-0.123387097,37.1351,0.813765182
JOE,11.7453,0.042393352,-0.7143,-0.075,-0.021052632,42.4954,1.038461538
STAG,19.7825,0.054189535,-0.6904,-0.1974,-0.020709843,43.2454,0.922432629
STMP,27.6546,0.158496809,0.7983,0.9069,0.070957447,53.8952,1.1094201
SMLP,33.4299,0.100331707,0.6042,0.2568,0.010731707,49.0585,1.027522936
TEGP,28.0476,0.129075369,0.8786,0.2234,0.033644134,54.9011,0.956790123
TEP,28.5595,0.051973828,0.5765,0.4181,0.011166848,48.8528,0.972626176
TIVO,20.8006,0.337025641,-0.5238,-0.9511,-0.073076923,39.7618,0.914285714
TRUP,60.0599,0.153037239,-0.1527,0.1476,-0.026853434,57.1255,1.226967048
USAK,49.6309,0.06674021,-0.3222,0.3891,0.014230557,76.1567,1.085392052
UNVR,21.4082,0.098947028,0.4461,0.4154,0.060658915,59.6272,0.983306581
VRNS,54.5815,0.149713697,-0.421,-0.0147,0.007209063,63.6351,1.126530612
VECO,48.2059,0.38786532,-0.2264,-0.4189,0.107744108,37.2033,1.039513678
ATSG,40.3171,0.07554019,-0.4045,-0.1738,-0.00812446,46.7064,1.054545455
AEL,22.1463,0.074780345,-0.4134,0.3446,-0.006508298,56.9531,1.088094478
