Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
MMLP,18.6817,0.137294798,-0.7479,-0.4148,-0.029479769,40.7128,0.928366762
MTRN,22.7257,0.070313066,-0.1046,0.0936,0.015782665,60.0078,1.117760618
MERC,17.864,0.05825,0.0526,-0.0664,0.009821429,48.2635,1.064444444
MEOH,23.5657,0.224987464,0.8072,1.1982,0.106846673,70.5061,0.991346154
MSCC,13.2714,0.095092922,-0.3573,-0.4082,-0.000276789,52.5577,1.012551481
MDXG,48.3163,0.186339988,0.3918,0.2658,-0.02323049,67.9326,0.724532851
MB,35.5981,0.136953975,-0.5308,-0.6259,-0.008368201,41.4813,1.1
MOBL,39.8201,0.216102564,-0.6829,-0.3277,-0.023076923,34.0755,0.955974843
NYT,56.7964,0.072891247,-0.2188,0.0348,0.018037135,69.636,1.044973545
NR,14.4061,0.169624242,-0.2308,-0.0126,0.020606061,58.3586,1.23030303
NBN,51.3325,0.061710345,0.0455,0.0899,0.03816092,70.2702,1.213151927
OAK,26.504,0.055565313,-0.5789,-0.3739,-0.014050494,42.1626,1.027711106
OSBC,21.0633,0.104576419,-0.4348,-0.0647,-0.00349345,49.2192,1.179039301
PTEN,45.6453,0.320752823,-0.662,-0.8726,-0.006022585,23.3443,1.2969809
PFBX,28.0362,0.039897059,0.2143,0.0747,0.030147059,50.2608,1.093348034
PJC,22.0127,0.230670222,-0.7601,-1.778,-0.020977778,38.6488,1.059449867
PFPT,29.9982,0.091792803,0.7322,0.9658,0.03474373,64.0479,0.960933261
RVLT,16.1544,0.16685259,-0.0313,0.0253,0.064541833,55.2728,0.863395225
RUSHB,33.3693,0.114365535,-0.4312,0.0743,0.013420366,64.6767,1.144369835
SPSC,21.3336,0.080016428,0.5749,0.4318,0.039132578,55.2674,0.936135282
SUI,36.2404,0.054981273,0.3125,0.4459,0.008680326,64.7861,0.942609459
SU,18.4388,0.076496396,-0.4687,0.0045,-0.007521153,56.4788,1.09806371
TECK,29.454,0.202136685,0.7877,1.1829,0.086881383,74.0648,0.835216206
USLM,18.9769,0.081781476,-0.1527,-0.1823,-0.010620335,60.3952,1.037687523
UCTT,54.2322,0.158433376,-0.101,0.2301,0.008684547,60.2864,1.310724883
WRI,23.6539,0.035588692,-0.2322,0.0433,-0.014600808,51.0093,0.981345566
WDC,24.338,0.198599712,0.2155,0.6673,0.069527707,56.8367,0.959320913
